Cuenta,Código QR,OLT,FSP,Latitud,Longitud,Ubicacion,Puerto N2,Estatus  
0100112331,TP652510,SAN_CRISTOBAL_DF,0/13/4,19.619803,-99.078279,Poste,9,ACTIVA
0100163589,TP579918,SAN_CRISTOBAL_DF,0/3/8,19.618064,-99.083734,Poste,1,ACTIVA
0100166662,TP578424,COACALCO_DF,0/2/4,19.635187,-99.082766,Poste,15,CANCELADA
0100167658,TP794596,SAN_CRISTOBAL_DF,0/7/10,19.612562,-99.088578,Poste,8,ACTIVA
0100169422,TP794595,SAN_CRISTOBAL_DF,0/3/7,19.612613,-99.088516,Poste,13,ACTIVA
0100169428,TP578427,SAN_CRISTOBAL_DF,0/2/12,19.635166,-99.082771,Poste,2,ACTIVA
0100169475,TP651670,SAN_CRISTOBAL_DF,0/3/5,19.617338,-99.088453,Poste,2,ACTIVA
0100174379,TP652361,COACALCO_DF,0/2/4,19.633946,-99.083235,Poste,1,CANCELADA
0100174441,TP644540,ESPUELAS_DF,0/6/5,19.666363,-99.033234,Poste,15,ACTIVA
0100174797,TP651731,SAN_CRISTOBAL_DF,0/2/6,19.623137,-99.085484,Poste,4,ACTIVA
0100176327,TP578427,SAN_CRISTOBAL_DF,0/2/12,19.635166,-99.082771,Poste,4,ACTIVA
0100184553,TP649092,HEROES_TECAMAC_DF,0/12/15,19.634981,-99.034432,Poste,5,ACTIVA
0100186284,TP648286,HEROES_TECAMAC_2_DF,0/1/0,19.639288,-99.034453,Poste,12,ACTIVA
0100186649,TP457038,ESPUELAS_DF,0/1/7,19.680837,-99.031453,Poste,16,ACTIVA
0100197598,TP415738,CHICONAUTLA_DF,0/3/2,19.622466,-99.021966,Poste,8,INACTIVA
0100202428,TP648152,HEROES_TECAMAC_DF,0/17/6,19.635637,-99.023015,Poste,8,ACTIVA
0100209691,TP444800,ESPUELAS_DF,0/1/3,19.679336,-99.02697,Poste,7,ACTIVA
0100212746,TP584097,HEROES_TECAMAC_DF,0/6/8,19.624888,-99.038516,Poste,4,ACTIVA
0100236554,TP651629,SAN_CRISTOBAL_DF,0/2/7,19.616916,-99.088905,Poste,4,ACTIVA
0100238972,TP578215,SAN_CRISTOBAL_DF,0/5/8,19.632333,-99.078935,Poste,8,ACTIVA
0100239199,TP578218,SAN_CRISTOBAL_DF,0/12/8,19.633226,-99.081345,Poste,10,ACTIVA
0100241683,TP583385,HEROES_TECAMAC_DF,0/11/5,19.623317,-99.033053,Poste,6,ACTIVA
0100246484,TP651115,SAN_CRISTOBAL_DF,0/13/3,19.638241,-99.080134,Poste,6,ACTIVA
